time=2026-08-12T12:07:18.947+07:00 level=INFO msg="Connected to PostgreSQL"
time=2026-08-12T12:07:19.064+07:00 level=INFO msg="All migrations applied" total=202
time=2026-08-12T12:07:19.078+07:00 level=INFO msg="Migrations applied"
time=2026-08-12T12:07:20.770+07:00 level=WARN msg="Redis connect failed, running without cache" error="dial tcp [::1]:6379: connectex: No connection could be made because the target machine actively refused it."
time=2026-08-12T12:07:20.770+07:00 level=INFO msg="MinIO client initialized" bucket=media endpoint=https://cjrhqywtwlmebthajrkx.supabase.co/storage/v1
time=2026-08-12T12:07:20.771+07:00 level=INFO msg="Server starting" addr=0.0.0.0:8080

 ┌───────────────────────────────────────────────────┐ 
 │                 YakinLulus.id API                 │ 
 │                  Fiber v2.52.14                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ........... 803  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 15284 │ 
 └───────────────────────────────────────────────────┘ 

time=2026-08-12T12:09:40.692+07:00 level=INFO msg=HTTP method=POST path=/api/v1/auth/login status=200 duration=176.3863ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:09:40.945+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages status=200 duration=34.877ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:09:41.049+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/0b44921d-9594-4772-bacc-e32015879b99 status=200 duration=72.7764ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:17:07.135+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/0b44921d-9594-4772-bacc-e32015879b99/start status=404 duration=78.4746ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:17:21.779+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams status=200 duration=277.759ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:17:27.946+07:00 level=INFO msg=HTTP method=DELETE path=/api/v1/exams/8e83a179-cffd-4748-9c08-ab3030443f91 status=400 duration=493.6425ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:17:36.000+07:00 level=INFO msg=HTTP method=DELETE path=/api/v1/exams/8e83a179-cffd-4748-9c08-ab3030443f91 status=400 duration=1.2862002s ip=127.0.0.1 request_id=""
time=2026-08-12T12:17:40.185+07:00 level=INFO msg=HTTP method=DELETE path=/api/v1/exams/8e83a179-cffd-4748-9c08-ab3030443f91 status=400 duration=121.3807ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:24.132+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages status=200 duration=80.8969ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:24.137+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams/summary status=400 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:24.172+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages status=200 duration=32.1523ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:24.175+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams/summary status=400 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:33.954+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams/summary status=400 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:34.020+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages status=200 duration=66.6456ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:34.040+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams/summary status=400 duration=0s ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:34.084+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages status=200 duration=44.4028ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:38.805+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=187.8968ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:18:39.084+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=141.7409ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:19:23.393+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=273.806ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:19:23.459+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exam-packages/40b80832-c6a2-4556-ab9c-2581132747d1 status=200 duration=64.0142ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:19:25.672+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/40b80832-c6a2-4556-ab9c-2581132747d1/start status=404 duration=61.1552ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:21:28.212+07:00 level=INFO msg=HTTP method=POST path=/api/v1/auth/login status=200 duration=295.3485ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:21:28.510+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/40b80832-c6a2-4556-ab9c-2581132747d1/start status=404 duration=40.0476ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:21:29.683+07:00 level=INFO msg=HTTP method=POST path=/api/v1/cbt/55635163-5e72-4b78-8bed-6f4a0f954096/start status=201 duration=1.0626478s ip=127.0.0.1 request_id=""
time=2026-08-12T12:22:15.471+07:00 level=INFO msg=HTTP method=POST path=/api/v1/auth/login status=200 duration=120.8203ms ip=127.0.0.1 request_id=""
time=2026-08-12T12:22:15.787+07:00 level=INFO msg=HTTP method=GET path=/api/v1/exams/55635163-5e72-4b78-8bed-6f4a0f954096 status=200 duration=236.3961ms ip=127.0.0.1 request_id=""
